,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
18,social sciences and humanities,emotional expression and engagement in service interactions,0.721,1267,13,marketing,0.275,ethics,0.141,service,0.615,marketing,0.231,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
19,computer science,emotional and cognitive responses to service failures,0.721,1332,10,operations,0.308,marketing,0.203,service,0.5,marketing,0.3,9,1,Data Science & Machine Learning,Consumer Psychology & Decision Making
20,biomedical and health sciences,human-robot interaction,0.72,339,26,operations,0.295,marketing,0.124,service,0.654,marketing,0.154,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
21,environmental sciences and studies,human-robot interaction,0.72,244,26,ethics,0.295,operations,0.266,service,0.654,marketing,0.154,11,17,Sustainability & CSR,AI & Human-Computer Interaction
22,customer experience management and design,sharing economy research and impacts,0.719,91,43,service,0.462,marketing,0.308,marketing,0.349,management,0.209,15,4,Retailing & Customer Experience,Platform Economics & Market Design
23,general entrepreneurship and theory,human-robot interaction,0.718,284,26,entrepreneurship,0.282,management,0.215,service,0.654,marketing,0.154,5,17,Innovation & Technology Management,AI & Human-Computer Interaction
24,business ethics and professional practice,customer experience management and design,0.718,241,91,ethics,0.83,management,0.062,service,0.462,marketing,0.308,11,15,Sustainability & CSR,Retailing & Customer Experience
25,ethical theories and frameworks,transformative service research,0.718,262,17,ethics,0.809,marketing,0.05,service,0.941,marketing,0.059,11,3,Sustainability & CSR,Institutional & Social Studies
26,sociology and social theories,emotional expression and engagement in service interactions,0.717,526,13,marketing,0.221,organization,0.165,service,0.615,marketing,0.231,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
27,strategic management and theories,human-robot interaction,0.717,841,26,management,0.348,marketing,0.194,service,0.654,marketing,0.154,8,17,Strategic Management & Performance,AI & Human-Computer Interaction
28,public policy and analysis,robotics and automation engineering,0.717,255,17,economics,0.294,operations,0.18,service,0.412,economics,0.176,4,5,Platform Economics & Market Design,Innovation & Technology Management
29,public administration and policy management,robotics and automation engineering,0.717,152,17,economics,0.224,operations,0.145,service,0.412,economics,0.176,3,5,Institutional & Social Studies,Innovation & Technology Management
30,communication and communications,emotional expression and engagement in service interactions,0.717,103,13,marketing,0.408,ethics,0.146,service,0.615,marketing,0.231,16,1,Communication & Reputation Management,Consumer Psychology & Decision Making
31,general entrepreneurship and theory,service ecosystems theory and research,0.717,284,15,entrepreneurship,0.282,management,0.215,service,0.733,marketing,0.2,5,3,Innovation & Technology Management,Institutional & Social Studies
32,management and management processes,emotional and cognitive responses to service failures,0.716,1676,10,management,0.302,organization,0.143,service,0.5,marketing,0.3,8,1,Strategic Management & Performance,Consumer Psychology & Decision Making
33,public health and nutrition,value cocreation in service contexts,0.716,109,20,operations,0.303,economics,0.183,service,0.75,information_systems,0.1,10,18,Healthcare Management & Policy,Service-Dominant Logic & Value Co-creation
34,ethical theories and frameworks,interdisciplinary and multidisciplinary research approaches and collaboration,0.716,262,37,ethics,0.809,marketing,0.05,service,0.297,management,0.216,11,3,Sustainability & CSR,Institutional & Social Studies
35,customer experience management and design,online consumer reviews and ratings,0.716,91,41,service,0.462,marketing,0.308,marketing,0.561,information_systems,0.171,15,9,Retailing & Customer Experience,Data Science & Machine Learning
36,public policy and analysis,human-robot interaction,0.715,255,26,economics,0.294,operations,0.18,service,0.654,marketing,0.154,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
37,behavioral economic theory and models,emotional and cognitive responses to service failures,0.715,455,10,marketing,0.464,operations,0.145,service,0.5,marketing,0.3,1,1,Consumer Psychology & Decision Making,Consumer Psychology & Decision Making
38,data analytics and data science,human-robot interaction,0.715,199,26,marketing,0.347,operations,0.261,service,0.654,marketing,0.154,9,17,Data Science & Machine Learning,AI & Human-Computer Interaction
39,labor economics,robotics and automation engineering,0.715,240,17,economics,0.358,management,0.162,service,0.412,economics,0.176,4,5,Platform Economics & Market Design,Innovation & Technology Management
40,environmental sciences and studies,customer behavior,0.715,244,112,ethics,0.295,operations,0.266,service,0.321,operations,0.25,11,19,Sustainability & CSR,Customer Behavior
41,healthcare services and systems management,customer-employee and service provider interactions,0.714,244,70,operations,0.43,management,0.197,service,0.3,organization,0.243,10,2,Healthcare Management & Policy,Organizational Behavior & HRM
42,service research and methodologies,emotional expression and engagement in service interactions,0.714,51,13,service,0.882,marketing,0.078,service,0.615,marketing,0.231,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
43,human-computer interaction,social work and symbolic interaction,0.714,360,14,information_systems,0.328,marketing,0.308,service,0.357,human_resources,0.214,17,3,AI & Human-Computer Interaction,Institutional & Social Studies
44,social sciences and humanities,emotional and cognitive responses to service failures,0.713,1267,10,marketing,0.275,ethics,0.141,service,0.5,marketing,0.3,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
45,technology adoption and usage in organizations,interdisciplinary and multidisciplinary research approaches and collaboration,0.713,223,37,information_systems,0.287,marketing,0.202,service,0.297,management,0.216,5,3,Innovation & Technology Management,Institutional & Social Studies
46,industrial and manufacturing engineering,professional and general service design,0.713,213,38,operations,0.648,management,0.155,service,0.579,operations,0.368,0,14,Operations Research & Queueing Theory,Service Operations & Design
47,human resource management and strategy,robotics and automation engineering,0.713,610,17,management,0.315,human_resources,0.239,service,0.412,economics,0.176,2,5,Organizational Behavior & HRM,Innovation & Technology Management
48,healthcare services and systems management,human-robot interaction,0.712,244,26,operations,0.43,management,0.197,service,0.654,marketing,0.154,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
49,strategic and competitive pricing strategies,customer experience management and design,0.712,358,91,marketing,0.374,operations,0.291,service,0.462,marketing,0.308,15,15,Retailing & Customer Experience,Retailing & Customer Experience
50,labor economics,customer experience management and design,0.711,240,91,economics,0.358,management,0.162,service,0.462,marketing,0.308,4,15,Platform Economics & Market Design,Retailing & Customer Experience
51,institutional theory and related approaches,interdisciplinary and multidisciplinary research approaches and collaboration,0.711,241,37,management,0.266,organization,0.224,service,0.297,management,0.216,3,3,Institutional & Social Studies,Institutional & Social Studies
52,artificial intelligence and machine learning,sustainability research and science,0.711,100,107,service,0.26,marketing,0.24,ethics,0.393,operations,0.196,17,11,AI & Human-Computer Interaction,Sustainability & CSR
53,technology management,emotional expression and engagement in service interactions,0.711,188,13,management,0.197,economics,0.176,service,0.615,marketing,0.231,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
54,general entrepreneurship and theory,customer experience management and design,0.71,284,91,entrepreneurship,0.282,management,0.215,service,0.462,marketing,0.308,5,15,Innovation & Technology Management,Retailing & Customer Experience
55,technology adoption and usage in organizations,value creation and co-creation in service contexts,0.71,223,17,information_systems,0.287,marketing,0.202,service,0.588,marketing,0.294,5,3,Innovation & Technology Management,Institutional & Social Studies
56,political science and behavior,artificial intelligence and machine learning,0.71,146,100,economics,0.247,ethics,0.178,service,0.26,marketing,0.24,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
57,ethical theories and frameworks,professional and general service design,0.71,262,38,ethics,0.809,marketing,0.05,service,0.579,operations,0.368,11,14,Sustainability & CSR,Service Operations & Design
58,platform economy and market design,professional and general service design,0.71,85,38,management,0.306,operations,0.271,service,0.579,operations,0.368,4,14,Platform Economics & Market Design,Service Operations & Design
59,operations management principles and practices,emotional and cognitive responses to service failures,0.709,975,10,operations,0.643,management,0.224,service,0.5,marketing,0.3,14,1,Service Operations & Design,Consumer Psychology & Decision Making
60,service innovation,robotics and automation engineering,0.709,75,17,service,0.373,economics,0.213,service,0.412,economics,0.176,5,5,Innovation & Technology Management,Innovation & Technology Management
61,customer experience management and design,digital platforms and their management,0.709,91,22,service,0.462,marketing,0.308,management,0.364,information_systems,0.273,15,3,Retailing & Customer Experience,Institutional & Social Studies
62,"policy design, implementation, and evaluation",robotics and automation engineering,0.709,73,17,economics,0.247,operations,0.151,service,0.412,economics,0.176,4,5,Platform Economics & Market Design,Innovation & Technology Management
63,customer relationship management (crm) concepts and strategies,robotics and automation engineering,0.709,440,17,marketing,0.55,service,0.248,service,0.412,economics,0.176,7,5,Marketing & Customer Relationship Management,Innovation & Technology Management
64,political science and behavior,interdisciplinary and multidisciplinary research approaches and collaboration,0.709,146,37,economics,0.247,ethics,0.178,service,0.297,management,0.216,3,3,Institutional & Social Studies,Institutional & Social Studies
65,public administration and policy management,human-robot interaction,0.709,152,26,economics,0.224,operations,0.145,service,0.654,marketing,0.154,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
66,customer experience management and design,emotional and cognitive responses to service failures,0.709,91,10,service,0.462,marketing,0.308,service,0.5,marketing,0.3,15,1,Retailing & Customer Experience,Consumer Psychology & Decision Making
67,machine learning concepts and applications,value creation and co-creation in service contexts,0.708,146,17,operations,0.342,marketing,0.192,service,0.588,marketing,0.294,9,3,Data Science & Machine Learning,Institutional & Social Studies
68,operations management principles and practices,customer-employee and service provider interactions,0.708,975,70,operations,0.643,management,0.224,service,0.3,organization,0.243,14,2,Service Operations & Design,Organizational Behavior & HRM
69,industrial organization economics,robotics and automation engineering,0.708,467,17,marketing,0.221,management,0.201,service,0.412,economics,0.176,4,5,Platform Economics & Market Design,Innovation & Technology Management
70,public health and nutrition,ai applications in service delivery and systems,0.708,109,10,operations,0.303,economics,0.183,service,0.8,marketing,0.2,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
71,computer science,social work and symbolic interaction,0.708,1332,14,operations,0.308,marketing,0.203,service,0.357,human_resources,0.214,9,3,Data Science & Machine Learning,Institutional & Social Studies
72,institutional theory and related approaches,human-robot interaction,0.708,241,26,management,0.266,organization,0.224,service,0.654,marketing,0.154,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
73,labor economics,customer behavior,0.707,240,112,economics,0.358,management,0.162,service,0.321,operations,0.25,4,19,Platform Economics & Market Design,Customer Behavior
74,human resource management and strategy,service industry analysis and characteristics,0.707,610,21,management,0.315,human_resources,0.239,service,0.19,economics,0.143,2,11,Organizational Behavior & HRM,Sustainability & CSR
75,biomedical and health sciences,service ecosystems theory and research,0.707,339,15,operations,0.295,marketing,0.124,service,0.733,marketing,0.2,10,3,Healthcare Management & Policy,Institutional & Social Studies
76,behavioral economic theory and models,justice perceptions and theories in service contexts,0.707,455,13,marketing,0.464,operations,0.145,service,0.615,ethics,0.154,1,7,Consumer Psychology & Decision Making,Marketing & Customer Relationship Management
77,technology adoption and usage in organizations,transformative service research,0.707,223,17,information_systems,0.287,marketing,0.202,service,0.941,marketing,0.059,5,3,Innovation & Technology Management,Institutional & Social Studies
78,public health and nutrition,emotional expression and engagement in service interactions,0.707,109,13,operations,0.303,economics,0.183,service,0.615,marketing,0.231,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
79,human-computer interaction,emotional and cognitive responses to service failures,0.706,360,10,information_systems,0.328,marketing,0.308,service,0.5,marketing,0.3,17,1,AI & Human-Computer Interaction,Consumer Psychology & Decision Making
80,operations research and management science,emotional expression and engagement in service interactions,0.706,1236,13,operations,0.756,management,0.164,service,0.615,marketing,0.231,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
81,organizational processes and structures,robotics and automation engineering,0.706,164,17,management,0.311,organization,0.256,service,0.412,economics,0.176,3,5,Institutional & Social Studies,Innovation & Technology Management
82,behavioral economic theory and models,emotional expression and engagement in service interactions,0.706,455,13,marketing,0.464,operations,0.145,service,0.615,marketing,0.231,1,1,Consumer Psychology & Decision Making,Consumer Psychology & Decision Making
83,data analytics and data science,interdisciplinary and multidisciplinary research approaches and collaboration,0.706,199,37,marketing,0.347,operations,0.261,service,0.297,management,0.216,9,3,Data Science & Machine Learning,Institutional & Social Studies
84,customer-employee and service provider interactions,human-robot interaction,0.705,70,26,service,0.3,organization,0.243,service,0.654,marketing,0.154,2,17,Organizational Behavior & HRM,AI & Human-Computer Interaction
85,service innovation,online consumer reviews and ratings,0.705,75,41,service,0.373,economics,0.213,marketing,0.561,information_systems,0.171,5,9,Innovation & Technology Management,Data Science & Machine Learning
86,public policy and analysis,value cocreation in service contexts,0.705,255,20,economics,0.294,operations,0.18,service,0.75,information_systems,0.1,4,18,Platform Economics & Market Design,Service-Dominant Logic & Value Co-creation
87,robotics and automation engineering,ai applications in service delivery and systems,0.705,17,10,service,0.412,economics,0.176,service,0.8,marketing,0.2,5,17,Innovation & Technology Management,AI & Human-Computer Interaction
88,service innovation,urban and regional economics and studies,0.704,75,53,service,0.373,economics,0.213,economics,0.358,operations,0.208,5,5,Innovation & Technology Management,Innovation & Technology Management
89,psychological theories and research,service ecosystems theory and research,0.704,2141,15,marketing,0.454,organization,0.163,service,0.733,marketing,0.2,1,3,Consumer Psychology & Decision Making,Institutional & Social Studies
90,data analytics and data science,customer-employee and service provider interactions,0.704,199,70,marketing,0.347,operations,0.261,service,0.3,organization,0.243,9,2,Data Science & Machine Learning,Organizational Behavior & HRM
91,business model innovation,robotics and automation engineering,0.704,49,17,operations,0.286,economics,0.122,service,0.412,economics,0.176,5,5,Innovation & Technology Management,Innovation & Technology Management
92,political science and behavior,service innovation,0.704,146,75,economics,0.247,ethics,0.178,service,0.373,economics,0.213,3,5,Institutional & Social Studies,Innovation & Technology Management
93,ethical theories and frameworks,customer-employee and service provider interactions,0.704,262,70,ethics,0.809,marketing,0.05,service,0.3,organization,0.243,11,2,Sustainability & CSR,Organizational Behavior & HRM
94,service marketing and management,social work and symbolic interaction,0.703,397,14,service,0.557,marketing,0.332,service,0.357,human_resources,0.214,7,3,Marketing & Customer Relationship Management,Institutional & Social Studies
95,service innovation,social work and symbolic interaction,0.703,75,14,service,0.373,economics,0.213,service,0.357,human_resources,0.214,5,3,Innovation & Technology Management,Institutional & Social Studies
96,customer experience management and design,digital health and technologies,0.703,91,14,service,0.462,marketing,0.308,information_systems,0.429,operations,0.357,15,10,Retailing & Customer Experience,Healthcare Management & Policy
97,business ethics and professional practice,interdisciplinary and multidisciplinary research approaches and collaboration,0.703,241,37,ethics,0.83,management,0.062,service,0.297,management,0.216,11,3,Sustainability & CSR,Institutional & Social Studies
98,human resource management and strategy,emotional expression and engagement in service interactions,0.703,610,13,management,0.315,human_resources,0.239,service,0.615,marketing,0.231,2,1,Organizational Behavior & HRM,Consumer Psychology & Decision Making
99,innovation process and management,emotional expression and engagement in service interactions,0.703,583,13,economics,0.23,management,0.149,service,0.615,marketing,0.231,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
100,knowledge management concepts and theories,artificial intelligence and machine learning,0.703,202,100,management,0.292,organization,0.139,service,0.26,marketing,0.24,8,17,Strategic Management & Performance,AI & Human-Computer Interaction
101,technology adoption and usage in organizations,service ecosystems theory and research,0.703,223,15,information_systems,0.287,marketing,0.202,service,0.733,marketing,0.2,5,3,Innovation & Technology Management,Institutional & Social Studies
102,customer-employee and service provider interactions,cross-cultural studies and comparative analysis,0.703,70,125,service,0.3,organization,0.243,marketing,0.24,ethics,0.176,2,1,Organizational Behavior & HRM,Consumer Psychology & Decision Making
103,interpersonal communication and influence,emotional expression and engagement in service interactions,0.702,41,13,marketing,0.512,organization,0.195,service,0.615,marketing,0.231,1,1,Consumer Psychology & Decision Making,Consumer Psychology & Decision Making
104,platform ecosystems and digital platforms,value creation and co-creation in service contexts,0.702,26,17,management,0.346,information_systems,0.154,service,0.588,marketing,0.294,12,3,IT & Digital Platform Management,Institutional & Social Studies
105,professional and general service design,robotics and automation engineering,0.702,38,17,service,0.579,operations,0.368,service,0.412,economics,0.176,14,5,Service Operations & Design,Innovation & Technology Management
106,healthcare services and systems management,emotional expression and engagement in service interactions,0.702,244,13,operations,0.43,management,0.197,service,0.615,marketing,0.231,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
107,sharing economy research and impacts,transformative service research,0.702,43,17,marketing,0.349,management,0.209,service,0.941,marketing,0.059,4,3,Platform Economics & Market Design,Institutional & Social Studies
108,decision sciences and optimization,robotics and automation engineering,0.702,179,17,marketing,0.397,operations,0.307,service,0.412,economics,0.176,0,5,Operations Research & Queueing Theory,Innovation & Technology Management
109,service research and methodologies,robotics and automation engineering,0.702,51,17,service,0.882,marketing,0.078,service,0.412,economics,0.176,3,5,Institutional & Social Studies,Innovation & Technology Management
110,risk management and analysis,professional and general service design,0.702,98,38,operations,0.439,marketing,0.133,service,0.579,operations,0.368,6,14,"Finance, Governance & Regulation",Service Operations & Design
111,service marketing and management,gender psychology and studies,0.701,397,66,service,0.557,marketing,0.332,management,0.167,economics,0.152,7,3,Marketing & Customer Relationship Management,Institutional & Social Studies
112,justice perceptions and theories in service contexts,judgment and decision making,0.701,13,46,service,0.615,ethics,0.154,marketing,0.761,organization,0.065,7,1,Marketing & Customer Relationship Management,Consumer Psychology & Decision Making
113,human resource management and strategy,new service development,0.701,610,22,management,0.315,human_resources,0.239,service,0.455,operations,0.318,2,14,Organizational Behavior & HRM,Service Operations & Design
114,environmental sciences and studies,emotional expression and engagement in service interactions,0.701,244,13,ethics,0.295,operations,0.266,service,0.615,marketing,0.231,11,1,Sustainability & CSR,Consumer Psychology & Decision Making
115,management research and quantitative methods,emotional expression and engagement in service interactions,0.701,530,13,operations,0.485,management,0.228,service,0.615,marketing,0.231,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
116,health care services research,customer-employee and service provider interactions,0.701,111,70,operations,0.288,management,0.198,service,0.3,organization,0.243,10,2,Healthcare Management & Policy,Organizational Behavior & HRM
117,industrial organization economics,human-robot interaction,0.701,467,26,marketing,0.221,management,0.201,service,0.654,marketing,0.154,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
118,public health and nutrition,service experience evaluation and management,0.701,109,15,operations,0.303,economics,0.183,service,0.667,operations,0.267,10,14,Healthcare Management & Policy,Service Operations & Design
119,service marketing and management,mobile computing and ubiquitous services,0.7,397,14,service,0.557,marketing,0.332,marketing,0.571,information_systems,0.357,7,12,Marketing & Customer Relationship Management,IT & Digital Platform Management
120,service innovation,market power and market structure,0.7,75,95,service,0.373,economics,0.213,marketing,0.316,management,0.242,5,4,Innovation & Technology Management,Platform Economics & Market Design
121,service innovation,social media data analysis and analytics,0.7,75,44,service,0.373,economics,0.213,marketing,0.5,information_systems,0.182,5,9,Innovation & Technology Management,Data Science & Machine Learning
122,operations management principles and practices,justice perceptions and theories in service contexts,0.7,975,13,operations,0.643,management,0.224,service,0.615,ethics,0.154,14,7,Service Operations & Design,Marketing & Customer Relationship Management
123,political science and behavior,professional and general service design,0.7,146,38,economics,0.247,ethics,0.178,service,0.579,operations,0.368,3,14,Institutional & Social Studies,Service Operations & Design
124,sociology and social theories,frontline employee behavior and management,0.7,526,19,marketing,0.221,organization,0.165,service,0.684,marketing,0.316,3,2,Institutional & Social Studies,Organizational Behavior & HRM
125,business strategy and management,social work and symbolic interaction,0.7,544,14,management,0.202,organization,0.125,service,0.357,human_resources,0.214,5,3,Innovation & Technology Management,Institutional & Social Studies
126,customer behavior,business model innovation,0.7,112,49,service,0.321,operations,0.25,operations,0.286,economics,0.122,19,5,Customer Behavior,Innovation & Technology Management
127,platform economy and market design,robotics and automation engineering,0.7,85,17,management,0.306,operations,0.271,service,0.412,economics,0.176,4,5,Platform Economics & Market Design,Innovation & Technology Management
128,business model innovation,professional and general service design,0.7,49,38,operations,0.286,economics,0.122,service,0.579,operations,0.368,5,14,Innovation & Technology Management,Service Operations & Design
129,general entrepreneurship and theory,professional and general service design,0.7,284,38,entrepreneurship,0.282,management,0.215,service,0.579,operations,0.368,5,14,Innovation & Technology Management,Service Operations & Design
130,general entrepreneurship and theory,customer behavior,0.7,284,112,entrepreneurship,0.282,management,0.215,service,0.321,operations,0.25,5,19,Innovation & Technology Management,Customer Behavior
131,electronic commerce and e-commerce systems,human-robot interaction,0.7,246,26,information_systems,0.309,marketing,0.236,service,0.654,marketing,0.154,9,17,Data Science & Machine Learning,AI & Human-Computer Interaction
132,customer experience management and design,gig economy labor market dynamics,0.699,91,11,service,0.462,marketing,0.308,operations,0.364,information_systems,0.273,15,4,Retailing & Customer Experience,Platform Economics & Market Design
133,general entrepreneurship and theory,service quality measurement and evaluation,0.699,284,39,entrepreneurship,0.282,management,0.215,service,0.41,marketing,0.205,5,14,Innovation & Technology Management,Service Operations & Design
134,cross-cultural studies and comparative analysis,justice perceptions and theories in service contexts,0.699,125,13,marketing,0.24,ethics,0.176,service,0.615,ethics,0.154,1,7,Consumer Psychology & Decision Making,Marketing & Customer Relationship Management
135,labor economics,human-robot interaction,0.699,240,26,economics,0.358,management,0.162,service,0.654,marketing,0.154,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
136,artificial intelligence and machine learning,performance management,0.699,100,62,service,0.26,marketing,0.24,management,0.274,organization,0.194,17,8,AI & Human-Computer Interaction,Strategic Management & Performance
137,industrial and manufacturing engineering,human-robot interaction,0.699,213,26,operations,0.648,management,0.155,service,0.654,marketing,0.154,0,17,Operations Research & Queueing Theory,AI & Human-Computer Interaction
138,electronic commerce and e-commerce systems,robotics and automation engineering,0.699,246,17,information_systems,0.309,marketing,0.236,service,0.412,economics,0.176,9,5,Data Science & Machine Learning,Innovation & Technology Management
139,political science and behavior,human-robot interaction,0.699,146,26,economics,0.247,ethics,0.178,service,0.654,marketing,0.154,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
140,artificial intelligence and machine learning,customer-employee and service provider interactions,0.698,100,70,service,0.26,marketing,0.24,service,0.3,organization,0.243,17,2,AI & Human-Computer Interaction,Organizational Behavior & HRM
141,operations management principles and practices,frontline employee behavior and management,0.698,975,19,operations,0.643,management,0.224,service,0.684,marketing,0.316,14,2,Service Operations & Design,Organizational Behavior & HRM
142,design and engineering concepts,social work and symbolic interaction,0.698,267,14,operations,0.378,management,0.116,service,0.357,human_resources,0.214,5,3,Innovation & Technology Management,Institutional & Social Studies
143,data analytics and data science,technology adoption in service industries,0.698,199,11,marketing,0.347,operations,0.261,service,0.545,management,0.182,9,14,Data Science & Machine Learning,Service Operations & Design
144,public administration and policy management,customer-employee and service provider interactions,0.698,152,70,economics,0.224,operations,0.145,service,0.3,organization,0.243,3,2,Institutional & Social Studies,Organizational Behavior & HRM
145,data analytics and data science,"servicescapes and their design, management, and theory",0.698,199,14,marketing,0.347,operations,0.261,service,0.714,marketing,0.143,9,7,Data Science & Machine Learning,Marketing & Customer Relationship Management
146,professional and general service design,business model concepts and evolution,0.698,38,19,service,0.579,operations,0.368,management,0.316,operations,0.211,14,11,Service Operations & Design,Sustainability & CSR
147,technology adoption and usage in organizations,emotional and cognitive responses to service failures,0.697,223,10,information_systems,0.287,marketing,0.202,service,0.5,marketing,0.3,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
148,ethical theories and frameworks,"servicescapes and their design, management, and theory",0.697,262,14,ethics,0.809,marketing,0.05,service,0.714,marketing,0.143,11,7,Sustainability & CSR,Marketing & Customer Relationship Management
149,technology management,frontline employee behavior and management,0.697,188,19,management,0.197,economics,0.176,service,0.684,marketing,0.316,5,2,Innovation & Technology Management,Organizational Behavior & HRM
150,innovation process and management,social work and symbolic interaction,0.697,583,14,economics,0.23,management,0.149,service,0.357,human_resources,0.214,5,3,Innovation & Technology Management,Institutional & Social Studies
151,political science and behavior,robotics and automation engineering,0.697,146,17,economics,0.247,ethics,0.178,service,0.412,economics,0.176,3,5,Institutional & Social Studies,Innovation & Technology Management
152,communication studies,transformative service research,0.697,115,17,marketing,0.452,information_systems,0.157,service,0.941,marketing,0.059,16,3,Communication & Reputation Management,Institutional & Social Studies
153,general and applied finance,emotional expression and engagement in service interactions,0.697,470,13,marketing,0.209,finance,0.187,service,0.615,marketing,0.231,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
154,technology management,emotional and cognitive responses to service failures,0.697,188,10,management,0.197,economics,0.176,service,0.5,marketing,0.3,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
155,healthcare services and systems management,service encounter evaluation and quality,0.697,244,12,operations,0.43,management,0.197,service,0.75,marketing,0.25,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
156,social network research and data analysis,customer-employee and service provider interactions,0.697,121,70,management,0.248,marketing,0.248,service,0.3,organization,0.243,3,2,Institutional & Social Studies,Organizational Behavior & HRM
157,general leadership,customer-employee and service provider interactions,0.697,159,70,organization,0.327,ethics,0.245,service,0.3,organization,0.243,2,2,Organizational Behavior & HRM,Organizational Behavior & HRM
